Neighborhood,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),ratio_steam,ratio_electricity,ratio_gas,flag_datacenter,flag_laboratory,flag_office,flag_downtown,flag_greatduw,flag_lakeu,outlier
1,11,268130,11,268130.0,15026352.0,0.0,0.9969673943482756,0.0030324725522202596,False,False,True,True,False,False,True
1,11,68452,11,61665.0,3782378.25,0.0,0.9999999339040192,0.0,False,False,True,True,False,False,False
1,11,273185,11,281566.0,14709151.0,0.0,0.9999998640302218,0.0,False,False,True,True,False,False,True
5,3,97500,8,97500.0,3736960.0,0.0,0.24370022692241822,0.7562997730775818,False,False,False,False,False,False,False
7,5,54015,11,54015.0,3020001.5,0.0,0.9999998344371683,0.0,False,False,True,False,False,False,False
1,13,42000,38,26554.0,7798464.0,0.3223095278762587,0.5580434813830005,0.11964689456795595,False,False,False,True,False,False,False
1,24,119701,11,102878.0,8382140.5,0.0,0.9999998210480963,0.0,False,False,True,True,False,False,False
3,1,24697,3,15300.0,1295685.75,0.0,0.6629763428362163,0.33702385011180375,False,False,False,False,False,False,False
11,1,57468,9,67750.0,3543985.5,0.0,0.601916119577803,0.3980837393380983,False,False,False,False,False,False,False
10,5,84000,9,84300.0,12184124.0,0.0,0.3649444145512636,0.6350555854487364,False,False,False,False,False,False,False
1,3,103000,16,103000.0,5214621.5,0.0,0.8137012437048403,0.1862986604109234,False,False,False,True,False,False,False
13,1,37864,26,37864.0,8025696.0,0.0,0.6737860492099377,0.32621382619027683,False,False,False,False,False,False,False
10,2,66497,26,66497.0,9290214.0,0.0,0.983078430701381,0.016921354018325088,False,False,False,False,False,False,False
7,4,34010,16,38428.0,3560614.25,0.0,0.9999999297873955,0.0,False,False,False,False,False,False,False
7,4,45980,26,45980.0,8305255.0,0.0,0.6464864715171298,0.3535135284828702,False,False,False,False,False,False,False
10,3,45743,16,45243.0,5313217.0,0.0,0.8107035718661594,0.18929623992394815,False,False,False,False,False,False,False
11,1,45000,4,45000.0,3505497.0,0.0,0.2999985451421011,0.7000014548578989,False,False,False,False,False,False,False
6,6,333698,21,432903.0,13730204.0,0.0,0.6847630960180927,0.31523690398190735,False,False,False,False,True,False,True
6,4,72859,13,72859.0,1498457.875,0.0,0.9713219332241823,0.028678150194912887,False,False,False,False,True,False,False
2,2,138705,8,138705.0,4959298.0,0.0,0.6058107417622414,0.39418925823775863,False,False,False,False,False,False,False
6,3,21947,7,14877.0,1554599.25,0.0,0.6236919257487098,0.3763079134381417,False,False,False,False,True,False,False
5,0,384772,13,349953.0,15206762.0,0.0,0.5928199573321394,0.40717991114742247,False,False,False,False,False,False,True
5,0,30287,15,28050.0,2193115.0,0.0,0.8277746493001963,0.17222535069980371,False,False,False,False,False,False,False
5,0,21931,11,31845.0,3947209.25,0.0,0.35432400752506343,0.6456761824825983,False,False,True,False,False,False,False
1,6,73102,11,92723.0,4307238.5,0.0,0.9999998839163422,0.0,False,False,True,True,False,False,False
6,1,87458,11,41097.0,8475238.0,0.0,0.45902274366808343,0.5409772563319166,False,False,True,False,True,False,False
3,1,51400,26,51841.0,11702959.0,0.0,0.5886688998910447,0.41133101466048033,False,False,False,False,False,False,False
4,1,26263,11,26263.0,1634669.375,0.0,0.9999997705958124,0.0,False,False,True,False,False,True,False
6,2,39212,7,39212.0,72370.39844,0.0,1.0000083122383316,0.0,False,False,False,False,True,False,False
11,1,21400,32,11737.0,5170809.5,0.0,0.4863066411555096,0.513693262147832,False,False,False,False,False,False,False
10,8,178000,25,181930.0,53166156.0,0.5836456184644984,0.41635432510862735,0.0,False,True,False,False,False,False,True
6,4,162157,11,88698.0,40613740.0,0.0,0.8645070609109134,0.13549274211141352,False,False,True,False,True,False,True
7,4,33997,26,33997.0,8926736.0,0.0,0.9213473995422291,0.07865248843474255,False,False,False,False,False,False,False
4,11,526423,11,400536.0,17463744.0,0.0,0.9485614310425072,0.05143845443451301,False,False,True,False,False,True,True
2,2,45700,13,293707.0,1544193.75,0.0,0.9335577222741641,0.0664424396226186,False,False,False,False,False,False,False
5,0,502030,32,564258.0,18470340.0,0.0,0.5067521225922208,0.4932478232669242,False,False,False,False,False,False,True
6,6,157345,11,157345.0,11624548.0,0.0,0.9794426415547512,0.020557272420398627,False,False,True,False,True,False,False
